"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 18 17:50:24 CST 2022","Thu Aug 18 17:50:31 CST 2022","6767","Test_cases","test_case01","TestBaidu","","","test_01_search[value0]",""
"passed","Thu Aug 18 17:50:31 CST 2022","Thu Aug 18 17:50:37 CST 2022","6289","Test_cases","test_case01","TestBaidu","","","test_01_search[value1]",""
